CreditScore,Age,Tenure,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Total_Products_More Than 2 Products,Total_Products_One product,Total_Products_Two Products,Account_Balance_More Than zero Balance,Account_Balance_Zero Balance,label
685,3.6888794541139363,7,1,0,72852.74,1,0,0,1,0,0,1,0,0,1,1
632,3.912023005428146,5,1,1,6985.34,0,1,0,1,0,0,1,0,1,0,1
666,3.295836866004329,4,0,0,88751.45,1,0,0,1,0,0,0,1,0,1,0
775,3.6375861597263857,6,0,0,153122.58,0,1,0,1,0,0,0,1,1,0,0
698,3.6635616461296463,9,0,0,90212.38,0,0,1,1,0,0,1,0,1,0,0
657,3.6635616461296463,4,1,0,97192.76,1,0,0,1,0,0,1,0,1,0,0
748,3.5263605246161616,8,1,0,53584.03,1,0,0,1,0,0,0,1,0,1,0
642,4.02535169073515,6,1,0,143049.72,0,1,0,1,0,0,0,1,1,0,1
844,3.367295829986474,8,0,0,147342.03,1,0,0,1,0,0,0,1,0,1,0
766,3.8066624897703196,6,0,0,147184.74,1,0,0,1,0,0,0,1,0,1,0
708,3.7612001156935624,0,1,0,181499.77,0,1,0,1,0,0,1,0,1,0,1
705,3.5553480614894135,4,1,0,116672.02,0,1,0,0,1,0,0,1,1,0,0
695,3.367295829986474,9,1,0,111565.45,1,0,0,1,0,0,0,1,0,1,0
507,3.4657359027997265,7,1,0,67926.18,0,0,1,0,1,0,0,1,0,1,0
614,3.5263605246161616,5,1,0,185561.89,1,0,0,1,0,0,0,1,0,1,0
543,4.1588830833596715,4,1,1,148305.82,1,0,0,0,1,0,0,1,0,1,0
562,4.31748811353631,5,1,1,39351.64,1,0,0,0,1,0,1,0,1,0,0
607,4.127134385045092,8,1,1,23386.77,0,0,1,1,0,0,1,0,1,0,1
709,3.713572066704308,3,1,0,71672.86,1,0,0,1,0,0,0,1,1,0,0
634,4.343805421853684,5,1,1,161579.85,1,0,0,0,1,0,0,1,0,1,0
778,3.8501476017100584,6,1,0,124694.99,0,0,1,1,0,0,0,1,1,0,0
633,4.060443010546419,6,1,1,132034.13,0,0,1,0,1,0,1,0,1,0,0
645,3.332204510175204,7,1,1,34490.06,0,1,0,0,1,0,0,1,1,0,0
618,3.5553480614894135,10,1,0,180439.75,1,0,0,1,0,0,0,1,0,1,0
607,3.58351893845611,10,0,0,198313.69,0,1,0,0,1,0,0,1,1,0,0
616,3.6109179126442243,9,1,0,111312.96,1,0,0,0,1,0,1,0,0,1,0
679,3.5263605246161616,7,1,0,121904.14,1,0,0,0,1,0,1,0,1,0,0
630,3.9318256327243257,0,0,0,88372.69,0,1,0,1,0,1,0,0,1,0,1
646,3.6375861597263857,2,0,0,178752.73,1,0,0,1,0,0,0,1,0,1,0
528,3.4657359027997265,2,0,1,111149.98,0,1,0,0,1,0,1,0,1,0,0
776,3.6109179126442243,2,0,1,8065.0,1,0,0,0,1,0,1,0,0,1,0
697,4.30406509320417,3,1,1,16445.79,0,1,0,1,0,0,0,1,1,0,0
639,3.7612001156935624,6,1,0,187296.78,1,0,0,0,1,0,0,1,1,0,0
651,3.713572066704308,4,0,1,151303.48,0,1,0,1,0,0,1,0,1,0,0
683,3.2188758248682006,4,1,0,152698.24,1,0,0,0,1,0,0,1,0,1,0
523,3.1780538303479458,5,0,1,155144.12,0,0,1,1,0,0,1,0,1,0,0
850,4.110873864173311,1,1,0,53067.83,1,0,0,0,1,0,1,0,0,1,1
617,3.6635616461296463,5,1,0,7953.62,0,1,0,1,0,1,0,0,1,0,1
645,3.8501476017100584,9,1,0,121840.2,0,1,0,0,1,0,1,0,1,0,1
692,3.58351893845611,4,1,0,185580.89,1,0,0,1,0,0,1,0,0,1,1
637,3.713572066704308,2,0,1,102515.42,1,0,0,0,1,0,0,1,0,1,0
704,3.912023005428146,4,1,0,120770.75,1,0,0,0,1,0,1,0,1,0,1
829,3.295836866004329,9,1,1,119708.21,0,1,0,1,0,0,1,0,1,0,1
591,3.6635616461296463,3,1,0,140469.38,0,0,1,1,0,1,0,0,0,1,1
850,3.5553480614894135,9,0,0,25329.48,1,0,0,1,0,0,0,1,0,1,0
670,3.4965075614664802,1,1,1,86413.11,1,0,0,0,1,0,0,1,0,1,0
691,3.9512437185814275,3,1,0,175843.68,1,0,0,0,1,0,1,0,0,1,1
749,3.7376696182833684,1,0,1,143538.51,1,0,0,0,1,0,0,1,1,0,0
585,3.4965075614664802,8,1,0,114182.07,0,0,1,1,0,0,0,1,0,1,0
679,3.1780538303479458,6,0,1,135768.25,1,0,0,1,0,0,0,1,1,0,0
687,3.5553480614894135,3,1,1,176450.19,0,0,1,0,1,0,0,1,0,1,0
689,3.4339872044851463,3,0,1,120663.57,0,0,1,1,0,0,1,0,1,0,0
546,3.8066624897703196,2,0,0,197789.83,0,0,1,1,0,0,1,0,0,1,1
711,3.5263605246161616,6,1,1,175310.38,1,0,0,1,0,0,0,1,0,1,0
568,3.6888794541139363,1,0,0,134600.94,0,1,0,0,1,0,1,0,1,0,1
672,3.7612001156935624,5,1,1,64515.5,0,0,1,0,1,0,0,1,0,1,0
690,3.367295829986474,5,1,0,108577.97,1,0,0,0,1,0,0,1,0,1,0
560,4.189654742026425,9,1,1,15928.49,1,0,0,1,0,0,1,0,0,1,0
734,3.091042453358316,5,0,0,121894.31,1,0,0,0,1,0,1,0,1,0,1
767,3.8501476017100584,2,1,0,48161.18,0,0,1,0,1,0,1,0,0,1,1
785,3.332204510175204,8,1,0,77231.27,1,0,0,0,1,0,0,1,0,1,0
702,3.5263605246161616,4,1,0,109496.45,1,0,0,0,1,0,1,0,1,0,0
840,3.9318256327243257,1,0,1,36687.11,0,1,0,1,0,0,1,0,1,0,1
666,3.8501476017100584,5,0,0,166650.9,0,0,1,1,0,0,1,0,0,1,1
545,4.30406509320417,3,1,1,161326.73,0,0,1,1,0,0,0,1,0,1,0
629,3.4339872044851463,6,1,1,16447.6,1,0,0,1,0,0,1,0,0,1,1
689,3.8066624897703196,0,1,0,150856.38,0,1,0,0,1,0,0,1,1,0,0
771,3.9318256327243257,5,1,1,152479.64,0,0,1,0,1,1,0,0,1,0,1
547,3.7612001156935624,1,0,1,80262.91,1,0,0,0,1,0,1,0,1,0,0
681,4.174387269895637,7,0,1,190419.81,0,0,1,0,1,0,0,1,1,0,0
645,3.1780538303479458,3,1,1,11638.17,1,0,0,1,0,0,1,0,1,0,0
652,3.9318256327243257,3,1,0,173989.47,1,0,0,1,0,0,1,0,0,1,1
762,3.5263605246161616,4,1,0,68562.26,0,1,0,0,1,0,0,1,1,0,1
608,3.6888794541139363,7,0,0,161154.85,0,1,0,1,0,0,1,0,1,0,0
598,3.4657359027997265,9,1,0,198894.42,0,1,0,0,1,0,0,1,1,0,0
538,3.6635616461296463,7,1,0,27231.26,0,1,0,0,1,0,0,1,1,0,0
670,3.367295829986474,9,1,0,27359.19,0,0,1,1,0,0,0,1,0,1,0
529,3.4011973816621555,2,1,0,75285.47,1,0,0,0,1,0,1,0,1,0,0
758,4.219507705176107,6,1,0,35865.44,0,1,0,0,1,0,1,0,1,0,1
687,3.5553480614894135,3,1,1,1713.1,1,0,0,1,0,0,1,0,1,0,1
429,3.1780538303479458,4,1,0,46170.75,1,0,0,0,1,0,1,0,1,0,0
610,3.58351893845611,7,0,1,42581.04,0,1,0,0,1,0,1,0,1,0,0
619,3.713572066704308,5,1,0,38270.47,0,1,0,1,0,0,1,0,1,0,0
625,3.58351893845611,9,1,0,133807.77,1,0,0,0,1,1,0,0,1,0,1
663,3.6635616461296463,4,1,0,76884.05,1,0,0,0,1,0,1,0,0,1,0
739,3.5263605246161616,9,1,0,60584.33,1,0,0,0,1,0,1,0,0,1,0
695,3.6635616461296463,5,0,0,102763.69,0,0,1,1,0,0,0,1,0,1,0
536,3.4657359027997265,7,1,0,22375.14,1,0,0,0,1,0,0,1,1,0,0
691,3.713572066704308,8,1,1,148848.76,0,1,0,1,0,1,0,0,1,0,1
615,4.189654742026425,7,1,1,74580.8,1,0,0,0,1,0,0,1,0,1,0
448,3.58351893845611,6,1,0,81999.53,1,0,0,1,0,0,0,1,1,0,0
588,3.5263605246161616,10,1,0,153727.32,0,1,0,1,0,0,1,0,1,0,0
607,3.6375861597263857,3,1,0,176318.27,0,1,0,0,1,0,1,0,1,0,0
605,3.7612001156935624,8,1,0,23970.13,0,1,0,1,0,0,0,1,1,0,0
585,3.5263605246161616,1,1,1,75503.6,1,0,0,1,0,0,1,0,0,1,0
413,3.5263605246161616,9,0,0,6534.18,1,0,0,0,1,0,0,1,0,1,0
566,3.9889840465642745,4,1,1,172601.62,0,1,0,0,1,0,0,1,1,0,0
639,3.332204510175204,8,1,0,126561.07,0,0,1,0,1,0,0,1,0,1,0
713,3.8066624897703196,4,1,0,74005.04,0,1,0,0,1,0,1,0,1,0,1
530,3.713572066704308,4,0,1,147606.71,0,0,1,1,0,0,0,1,0,1,0
675,3.4657359027997265,8,1,1,52710.7,0,0,1,0,1,0,1,0,1,0,0
572,3.5553480614894135,1,1,0,185662.84,0,1,0,1,0,0,1,0,1,0,0
825,3.5263605246161616,9,1,1,31933.06,1,0,0,0,1,0,0,1,0,1,0
458,3.5553480614894135,5,1,0,135287.74,0,0,1,1,0,0,1,0,1,0,0
554,3.713572066704308,4,0,1,36242.19,0,0,1,1,0,0,1,0,1,0,0
671,3.4339872044851463,6,1,0,145567.34,0,1,0,1,0,0,0,1,1,0,0
467,4.04305126783455,1,1,1,114448.77,1,0,0,0,1,0,0,1,0,1,0
642,3.5553480614894135,2,0,1,122254.86,1,0,0,0,1,0,1,0,1,0,0
485,3.4011973816621555,5,1,1,141148.21,0,1,0,1,0,0,1,0,1,0,0
833,3.6109179126442243,8,1,1,136129.49,1,0,0,0,1,0,0,1,1,0,0
802,3.713572066704308,4,0,1,169183.66,0,1,0,1,0,0,0,1,1,0,0
810,3.4657359027997265,9,0,1,78896.59,1,0,0,0,1,0,0,1,1,0,0
850,3.091042453358316,3,1,1,144385.54,0,0,1,0,1,0,1,0,0,1,0
838,3.6635616461296463,5,1,0,14279.44,0,0,1,1,0,0,0,1,1,0,0
625,4.04305126783455,7,0,0,84106.17,0,0,1,1,0,0,1,0,0,1,1
587,3.4965075614664802,5,1,0,34215.58,1,0,0,0,1,0,1,0,1,0,0
629,3.6635616461296463,5,0,0,116748.14,0,0,1,0,1,0,0,1,0,1,0
610,3.295836866004329,2,1,0,14546.76,1,0,0,1,0,0,0,1,0,1,0
451,3.4965075614664802,6,1,0,184954.11,1,0,0,0,1,0,0,1,0,1,0
675,4.189654742026425,5,1,1,131970.86,0,0,1,0,1,0,0,1,1,0,0
710,3.5263605246161616,8,0,1,1561.58,0,1,0,0,1,0,0,1,1,0,0
711,3.8066624897703196,1,1,0,50610.62,0,1,0,1,0,0,0,1,1,0,0
619,3.367295829986474,4,0,1,131712.51,0,1,0,0,1,0,1,0,1,0,0
761,3.5263605246161616,2,1,0,61251.25,0,0,1,1,0,0,0,1,0,1,0
433,3.5263605246161616,9,1,0,19687.99,0,0,1,0,1,0,1,0,1,0,0
552,3.367295829986474,10,1,0,12186.83,1,0,0,0,1,0,0,1,0,1,0
582,3.7612001156935624,5,0,0,170563.73,1,0,0,1,0,0,1,0,1,0,0
514,3.258096538021482,1,0,0,121551.93,1,0,0,0,1,0,0,1,0,1,0
630,3.6109179126442243,6,1,1,82647.65,1,0,0,0,1,0,0,1,0,1,0
762,3.258096538021482,7,1,1,169654.57,0,0,1,1,0,0,0,1,1,0,0
787,3.6635616461296463,7,0,1,100791.36,0,0,1,1,0,0,1,0,1,0,0
673,3.4657359027997265,8,1,0,116969.73,1,0,0,0,1,0,1,0,1,0,0
445,3.2188758248682006,6,1,0,119425.94,1,0,0,0,1,0,0,1,0,1,0
642,3.6888794541139363,7,1,0,10712.82,1,0,0,1,0,0,0,1,0,1,0
579,3.367295829986474,10,1,1,129209.09,1,0,0,1,0,0,0,1,1,0,0
817,3.6109179126442243,6,1,0,80985.88,1,0,0,1,0,0,0,1,1,0,0
670,3.6375861597263857,4,1,1,110472.12,1,0,0,1,0,0,0,1,1,0,0
616,2.8903717578961645,6,1,1,27308.58,1,0,0,0,1,0,0,1,0,1,0
515,3.6109179126442243,2,1,1,188366.04,0,1,0,0,1,0,1,0,1,0,1
627,3.4657359027997265,1,1,0,106851.7,1,0,0,1,0,0,1,0,0,1,0
659,3.6375861597263857,9,1,1,132809.18,1,0,0,1,0,0,0,1,0,1,0
850,3.8066624897703196,2,1,1,19482.5,0,0,1,1,0,0,1,0,1,0,0
404,3.9889840465642745,4,1,0,83715.66,0,1,0,1,0,0,1,0,1,0,1
696,3.4339872044851463,8,1,0,33828.64,0,1,0,1,0,0,0,1,1,0,0
668,3.4657359027997265,10,1,1,43595.9,0,1,0,1,0,0,1,0,1,0,0
716,3.367295829986474,6,1,1,98998.61,1,0,0,1,0,0,0,1,0,1,0
676,3.5263605246161616,8,0,0,46038.28,1,0,0,1,0,0,1,0,1,0,0
546,3.7376696182833684,7,1,1,86945.0,0,0,1,0,1,0,1,0,1,0,0
575,3.6109179126442243,9,1,0,111175.09,0,0,1,1,0,0,1,0,1,0,0
671,3.332204510175204,8,1,0,125422.66,0,1,0,0,1,0,0,1,1,0,0
517,3.332204510175204,2,1,0,179056.23,1,0,0,0,1,0,1,0,1,0,0
850,3.6888794541139363,7,1,1,747.88,0,1,0,1,0,0,1,0,1,0,0
685,3.044522437723423,6,1,1,164966.27,0,1,0,1,0,0,1,0,1,0,0
698,3.58351893845611,6,0,1,19231.98,1,0,0,0,1,0,0,1,0,1,0
708,3.6888794541139363,8,1,0,101089.76,0,0,1,0,1,0,1,0,1,0,0
723,3.332204510175204,5,1,0,143481.85,0,1,0,1,0,0,1,0,1,0,0
534,3.1780538303479458,1,1,1,169653.32,1,0,0,0,1,0,1,0,0,1,0
659,3.4657359027997265,9,1,1,93155.75,1,0,0,1,0,0,0,1,0,1,0
688,3.6888794541139363,6,1,1,47886.44,1,0,0,0,1,0,1,0,0,1,0
677,3.5553480614894135,0,0,0,76637.38,0,0,1,1,0,0,0,1,0,1,0
500,3.5263605246161616,6,1,1,140268.45,1,0,0,1,0,0,1,0,0,1,0
652,3.4011973816621555,2,1,1,152210.81,1,0,0,0,1,0,0,1,1,0,0
744,4.02535169073515,9,1,1,169498.61,1,0,0,0,1,0,0,1,0,1,0
633,3.6635616461296463,2,0,0,191207.03,0,0,1,1,0,0,0,1,0,1,0
588,3.7376696182833684,2,1,0,48498.19,0,1,0,1,0,0,1,0,1,0,0
705,3.6109179126442243,10,1,1,13935.53,1,0,0,1,0,0,0,1,0,1,1
768,3.332204510175204,3,0,1,50911.41,1,0,0,1,0,0,0,1,1,0,0
815,3.6375861597263857,2,1,0,184796.84,0,0,1,1,0,0,1,0,1,0,0
746,3.2188758248682006,9,0,1,88728.47,1,0,0,0,1,0,0,1,0,1,0
727,3.332204510175204,1,1,0,40357.39,0,0,1,0,1,0,1,0,0,1,0
536,3.5553480614894135,4,0,0,77178.42,0,1,0,1,0,0,1,0,1,0,0
747,3.713572066704308,5,1,1,22750.17,1,0,0,0,1,0,0,1,0,1,0
678,3.332204510175204,5,1,1,54144.01,0,0,1,0,1,0,1,0,1,0,0
560,3.1780538303479458,1,1,0,89734.7,1,0,0,0,1,0,1,0,1,0,0
607,3.4339872044851463,8,1,1,43196.5,1,0,0,0,1,0,0,1,0,1,0
663,3.4965075614664802,8,1,0,196260.3,0,0,1,1,0,0,1,0,1,0,0
641,3.5553480614894135,4,0,0,125986.18,1,0,0,1,0,0,0,1,0,1,0
642,3.4011973816621555,8,0,0,43250.54,0,1,0,0,1,0,1,0,1,0,0
731,3.713572066704308,9,1,1,88783.59,1,0,0,1,0,0,1,0,1,0,0
655,3.5553480614894135,1,1,0,88798.02,0,0,1,1,0,0,0,1,1,0,0
700,3.784189633918261,2,1,0,16874.92,1,0,0,1,0,0,1,0,1,0,0
576,3.58351893845611,8,1,1,23305.85,0,1,0,1,0,0,1,0,1,0,0
751,3.5263605246161616,8,0,0,479.54,0,0,1,1,0,0,0,1,1,0,0
552,3.4965075614664802,3,1,0,58844.84,0,1,0,0,1,0,1,0,1,0,1
580,3.6375861597263857,9,1,0,128481.5,0,1,0,0,1,0,0,1,1,0,1
617,3.912023005428146,7,1,0,184839.7,0,0,1,0,1,0,1,0,0,1,1
657,3.7376696182833684,5,1,0,112979.6,0,0,1,0,1,0,1,0,1,0,1
570,3.4011973816621555,10,1,0,97045.32,1,0,0,1,0,0,1,0,1,0,1
845,3.7612001156935624,3,1,0,97910.06,0,1,0,1,0,0,0,1,1,0,0
496,4.07753744390572,7,1,0,163141.18,0,1,0,1,0,0,0,1,1,0,1
609,3.4339872044851463,9,1,1,150218.11,0,1,0,0,1,0,1,0,1,0,0
760,3.7376696182833684,0,1,1,97906.38,0,1,0,0,1,0,0,1,1,0,0
809,3.1780538303479458,7,1,0,183515.13,1,0,0,0,1,0,1,0,1,0,0
426,3.5263605246161616,9,1,0,107876.91,1,0,0,0,1,0,0,1,0,1,0
745,3.5263605246161616,7,1,1,31802.92,0,0,1,0,1,0,1,0,1,0,0
701,3.5263605246161616,3,0,1,74694.41,1,0,0,1,0,0,1,0,1,0,0
657,3.58351893845611,8,0,0,183058.51,0,0,1,0,1,0,0,1,1,0,1
493,3.58351893845611,5,1,0,56092.51,1,0,0,1,0,0,0,1,1,0,0
611,3.9512437185814275,7,0,1,73585.18,0,0,1,0,1,0,1,0,0,1,1
776,3.4657359027997265,4,1,1,126517.46,0,1,0,1,0,0,0,1,1,0,0
588,3.6109179126442243,2,0,1,187816.59,0,0,1,0,1,0,0,1,0,1,0
727,3.6375861597263857,2,1,1,59280.79,0,0,1,0,1,0,1,0,1,0,0
613,3.6375861597263857,9,0,0,15859.95,0,1,0,0,1,0,0,1,1,0,0
793,4.143134726391533,0,0,1,27166.75,0,0,1,0,1,0,0,1,0,1,0
681,3.784189633918261,3,1,1,163558.36,0,1,0,1,0,0,0,1,1,0,0
687,3.871201010907891,4,1,1,170893.85,1,0,0,0,1,0,0,1,0,1,0
655,3.6635616461296463,6,1,1,148948.52,1,0,0,1,0,0,0,1,1,0,0
470,3.6635616461296463,5,0,0,63705.9,0,1,0,0,1,0,0,1,1,0,0
620,3.2188758248682006,8,1,1,73857.94,0,1,0,1,0,0,1,0,1,0,1
779,3.4965075614664802,3,1,0,30804.68,0,0,1,0,1,0,0,1,0,1,0
778,3.5263605246161616,7,0,1,113046.81,1,0,0,1,0,0,1,0,1,0,0
669,3.9318256327243257,3,0,0,85250.77,0,0,1,0,1,0,1,0,1,0,1
768,3.367295829986474,2,1,1,73686.75,1,0,0,0,1,0,0,1,1,0,0
651,3.5263605246161616,9,1,0,138113.71,1,0,0,1,0,0,0,1,0,1,0
558,3.58351893845611,0,1,1,172363.52,0,1,0,1,0,0,0,1,1,0,0
681,4.060443010546419,8,1,1,139761.25,1,0,0,1,0,0,1,0,1,0,0
755,3.7612001156935624,6,1,0,16929.41,0,1,0,0,1,1,0,0,1,0,1
606,3.7376696182833684,10,1,0,177938.52,0,0,1,0,1,0,0,1,0,1,0
683,4.290459441148391,8,1,1,133210.44,1,0,0,1,0,0,0,1,1,0,0
744,3.912023005428146,1,0,1,106061.47,0,1,0,1,0,0,0,1,1,0,1
630,4.007333185232471,2,1,1,106202.07,1,0,0,0,1,0,1,0,0,1,1
661,3.713572066704308,1,0,1,131300.68,1,0,0,1,0,0,0,1,0,1,0
636,3.6109179126442243,9,1,1,153535.27,0,1,0,1,0,0,1,0,1,0,0
692,3.5263605246161616,4,1,1,37898.91,0,0,1,1,0,0,1,0,1,0,0
631,3.4965075614664802,2,1,1,158268.84,0,0,1,0,1,0,0,1,0,1,0
749,3.4657359027997265,7,0,1,157648.12,0,1,0,1,0,0,1,0,1,0,0
656,3.6109179126442243,2,0,1,67840.81,1,0,0,0,1,0,0,1,0,1,0
563,3.6635616461296463,5,1,1,17603.81,1,0,0,1,0,0,0,1,0,1,0
582,3.713572066704308,1,1,0,128528.83,1,0,0,0,1,0,1,0,1,0,0
678,3.8918202981106265,2,1,0,195053.58,0,1,0,0,1,0,1,0,1,0,1
643,3.6109179126442243,6,0,0,142454.77,1,0,0,0,1,0,0,1,0,1,0
358,3.9512437185814275,8,1,0,141959.11,0,0,1,1,0,1,0,0,1,0,1
464,3.5263605246161616,5,1,1,158668.87,0,0,1,1,0,0,1,0,1,0,0
507,3.4965075614664802,7,1,1,85411.01,1,0,0,0,1,0,0,1,0,1,0
589,3.6375861597263857,4,1,0,95483.48,1,0,0,0,1,0,1,0,0,1,1
554,3.7612001156935624,2,1,0,7611.61,0,1,0,1,0,0,1,0,1,0,1
607,3.4965075614664802,8,0,1,130824.57,1,0,0,1,0,0,1,0,1,0,0
522,3.6109179126442243,3,1,1,129107.59,0,1,0,1,0,0,1,0,1,0,0
568,3.9318256327243257,4,1,1,66586.56,1,0,0,0,1,1,0,0,0,1,0
541,3.6635616461296463,9,1,1,199808.1,0,1,0,1,0,0,1,0,1,0,1
719,3.6109179126442243,9,1,0,25803.59,1,0,0,1,0,0,1,0,1,0,1
502,3.6888794541139363,7,0,0,196278.32,0,1,0,1,0,0,1,0,1,0,0
659,3.6375861597263857,9,1,1,35701.06,0,0,1,1,0,0,0,1,0,1,0
850,3.6375861597263857,1,1,1,80006.65,1,0,0,0,1,0,0,1,0,1,0
667,3.6375861597263857,1,1,1,77866.91,0,0,1,0,1,0,1,0,1,0,0
535,3.367295829986474,5,0,1,52709.55,1,0,0,1,0,0,0,1,0,1,0
551,3.5553480614894135,7,0,0,86937.2,1,0,0,0,1,0,0,1,1,0,0
820,3.367295829986474,3,0,1,115985.38,1,0,0,1,0,0,1,0,1,0,0
684,3.6635616461296463,4,1,1,120612.11,0,0,1,1,0,0,1,0,1,0,0
557,3.58351893845611,1,1,0,98413.1,0,0,1,0,1,0,1,0,1,0,0
609,3.6375861597263857,6,0,1,171430.16,0,1,0,0,1,0,0,1,1,0,0
505,3.258096538021482,8,1,0,145011.62,1,0,0,0,1,0,1,0,1,0,0
777,3.784189633918261,3,0,1,79792.3,0,1,0,0,1,0,0,1,1,0,0
607,3.1780538303479458,2,0,1,127560.77,0,1,0,1,0,0,0,1,1,0,0
649,3.4657359027997265,7,1,0,28797.32,0,0,1,1,0,0,1,0,0,1,0
702,3.6109179126442243,10,1,1,94728.49,1,0,0,0,1,0,1,0,1,0,0
585,3.6635616461296463,7,0,0,131852.01,0,1,0,1,0,0,0,1,1,0,0
476,3.6109179126442243,4,1,1,55775.84,1,0,0,0,1,0,1,0,0,1,1
536,3.713572066704308,9,1,0,121299.14,1,0,0,1,0,0,1,0,0,1,0
660,3.5263605246161616,8,0,1,182262.66,1,0,0,0,1,0,0,1,1,0,0
545,3.258096538021482,1,1,1,199638.56,1,0,0,1,0,0,0,1,0,1,0
586,3.295836866004329,5,1,1,192427.16,1,0,0,0,1,0,0,1,1,0,0
667,3.332204510175204,6,1,0,147090.9,1,0,0,0,1,0,1,0,1,0,0
653,3.5553480614894135,6,1,1,23864.21,0,0,1,0,1,0,0,1,1,0,0
686,3.6375861597263857,7,1,1,76076.2,0,0,1,0,1,0,1,0,1,0,0
521,3.5553480614894135,6,1,0,10488.44,1,0,0,0,1,0,1,0,1,0,0
730,3.5553480614894135,0,1,1,53718.28,1,0,0,1,0,0,1,0,1,0,0
519,3.6375861597263857,1,1,1,60988.21,0,1,0,0,1,0,1,0,1,0,1
728,3.7376696182833684,8,0,1,41823.22,0,0,1,0,1,0,0,1,0,1,0
506,3.58351893845611,5,1,0,164253.35,1,0,0,0,1,0,0,1,0,1,0
600,3.4011973816621555,2,1,1,21852.91,0,1,0,0,1,0,1,0,1,0,0
412,3.367295829986474,5,0,0,12510.53,1,0,0,0,1,0,0,1,0,1,0
803,4.174387269895637,2,0,1,6930.17,1,0,0,1,0,0,0,1,1,0,0
585,3.6635616461296463,7,1,0,2401.26,1,0,0,1,0,0,0,1,0,1,0
591,3.367295829986474,6,1,1,108684.65,1,0,0,0,1,0,0,1,0,1,0
797,3.1780538303479458,5,1,0,182257.61,1,0,0,0,1,0,0,1,0,1,0
606,3.6109179126442243,8,1,0,89099.18,0,0,1,0,1,0,0,1,1,0,0
